"","country","group","subgroup","gender","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"122","Uzbekistan","Asia","Central Asia","m",19374,24754,31424,37100,38034,41227,49012,59721,65417,60773,52651,48233,48743,45938,43645,57572
"123","China","Asia","Eastern Asia","f",9841,8864,10358,14439,21171,24288,21802,17234,12472,8811,7219,7100,7234,5426,3255,4893
"124","China","Asia","Eastern Asia","m",9907,9103,10797,14249,19224,21681,21465,19165,15099,11047,8944,8427,7947,5960,3576,5363
"125","China, Hong Kong Special Administrative Region","Asia","Eastern Asia","f",9996,15752,21528,35595,43665,70113,101871,99441,104336,84038,85898,99335,95650,74594,60270,91847
"126","China, Hong Kong Special Administrative Region","Asia","Eastern Asia","m",10257,17399,25438,39969,41686,62066,97869,108125,121236,102132,102900,110785,105088,71301,51424,56869
"127","China, Macao Special Administrative Region","Asia","Eastern Asia","f",1165,2226,4324,7684,13823,15505,15849,11824,7936,4529,3699,4189,4612,3967,3074,4262
"128","China, Macao Special Administrative Region","Asia","Eastern Asia","m",1308,2520,4819,6321,7222,10891,15127,13262,9599,5643,4548,3992,3678,2832,2152,2465
"129","Democratic People's Republic of Korea","Asia","Eastern Asia","f",950,773,710,976,1671,2073,2013,1706,1287,903,731,721,681,631,421,463
"130","Democratic People's Republic of Korea","Asia","Eastern Asia","m",960,800,745,967,1521,1854,1985,1901,1564,1134,911,860,759,603,402,427
"131","Japan","Asia","Eastern Asia","f",23823,29289,31639,41354,66288,72896,58084,48676,40761,31293,25038,18900,13386,9586,6499,10128
"132","Japan","Asia","Eastern Asia","m",25476,31087,33258,41338,64826,72771,60435,52178,44737,34170,26346,19603,14068,8774,7617,11302
"133","Mongolia","Asia","Eastern Asia","f",174,172,150,167,397,351,309,291,312,306,234,163,79,79,59,56
"134","Mongolia","Asia","Eastern Asia","m",179,177,158,176,419,370,326,306,330,322,246,171,88,64,49,38
"135","Republic of Korea","Asia","Eastern Asia","f",1374,1812,1852,1426,1319,1782,2177,1765,1440,1108,833,672,471,307,230,238
"136","Republic of Korea","Asia","Eastern Asia","m",1402,1780,1859,1612,1933,2170,2761,2447,2345,1702,1290,1046,765,525,264,310
"137","Brunei Darussalam","Asia","South-Eastern Asia","f",1686,1424,1163,1123,4020,5314,5243,4033,2542,1442,1053,804,490,380,260,367
"138","Brunei Darussalam","Asia","South-Eastern Asia","m",1835,1638,1244,1278,4513,6806,7447,6376,4517,2223,1393,826,641,430,294,395
