"","country","year","population"
"285","Aruba","2003",0.09372
"286","Aruba","2004",0.09546
"287","Aruba","2005",0.09698
"288","Aruba","2006",0.0985
"289","Aruba","2007",0.10002
"290","Aruba","2008",0.10154
"291","Aruba","2009",0.10307
"292","Aruba","2010",0.10459
"293","Asia & Oceania","1980",2469.81743
"294","Asia & Oceania","1981",2518.13689
"295","Asia & Oceania","1982",2563.52187
"296","Asia & Oceania","1983",2610.10261
"297","Asia & Oceania","1984",2655.88059
"298","Asia & Oceania","1985",2702.75408
"299","Asia & Oceania","1986",2751.06581
"300","Asia & Oceania","1987",2802.31491
"301","Asia & Oceania","1988",2853.88173
"302","Asia & Oceania","1989",2904.74454
"303","Asia & Oceania","1990",2954.74639
"304","Asia & Oceania","1991",3002.08385
"305","Asia & Oceania","1992",3049.4639
"306","Asia & Oceania","1993",3097.01107
"307","Asia & Oceania","1994",3144.70448
"308","Asia & Oceania","1995",3191.91196
"309","Asia & Oceania","1996",3238.06006
"310","Asia & Oceania","1997",3282.33448
"311","Asia & Oceania","1998",3325.29036
"312","Asia & Oceania","1999",3367.43739
"313","Asia & Oceania","2000",3408.81144
"314","Asia & Oceania","2001",3450.06017
"315","Asia & Oceania","2002",3490.97008
"316","Asia & Oceania","2003",3531.28903
"317","Asia & Oceania","2004",3570.71937
"318","Asia & Oceania","2005",3609.62956
"319","Asia & Oceania","2006",3648.16942
"320","Asia & Oceania","2007",3686.3589
"321","Asia & Oceania","2008",3724.32335
"322","Asia & Oceania","2009",3762.16099
"323","Asia & Oceania","2010",3799.67028
"324","Australia","1980",14.6159
"325","Australia","1981",14.92326
"326","Australia","1982",15.16178
"327","Australia","1983",15.34807
"328","Australia","1984",15.51048
"329","Australia","1985",15.69524
"330","Australia","1986",15.90042
"331","Australia","1987",16.13672
"332","Australia","1988",16.40073
"333","Australia","1989",16.6806
"334","Australia","1990",16.95624
"335","Australia","1991",17.20212
"336","Australia","1992",17.41893
"337","Australia","1993",17.6078
"338","Australia","1994",17.78109
"339","Australia","1995",17.97563
"340","Australia","1996",18.19585
"341","Australia","1997",18.41526
"342","Australia","1998",18.62084
"343","Australia","1999",18.83025
"344","Australia","2000",19.05319
"345","Australia","2001",19.29426
"346","Australia","2002",19.53494
"347","Australia","2003",19.76654
"348","Australia","2004",19.99508
"349","Australia","2005",20.23235
"350","Australia","2006",20.48947
"351","Australia","2007",20.74963
"352","Australia","2008",21.00731
"353","Australia","2009",21.26264
"354","Australia","2010",21.51575
"355","Austria","1980",7.54943
"356","Austria","1981",7.56463
"357","Austria","1982",7.57461
"358","Austria","1983",7.5529
"359","Austria","1984",7.55413
"360","Austria","1985",7.55978
"361","Austria","1986",7.56824
"362","Austria","1987",7.5789
"363","Austria","1988",7.59979
"364","Austria","1989",7.62786
"365","Austria","1990",7.72295
"366","Austria","1991",7.81842
"367","Austria","1992",7.91497
"368","Austria","1993",7.9886
"369","Austria","1994",8.02754
"370","Austria","1995",8.04743
"371","Austria","1996",8.06085
"372","Austria","1997",8.06988
"373","Austria","1998",8.07862
"374","Austria","1999",8.09416
"375","Austria","2000",8.11341
"376","Austria","2001",8.13169
"377","Austria","2002",8.14831
"378","Austria","2003",8.16266
"379","Austria","2004",8.17476
"380","Austria","2005",8.18469
"381","Austria","2006",8.19288
"382","Austria","2007",8.19978
"383","Austria","2008",8.20553
"384","Austria","2009",8.21028
"385","Austria","2010",8.21416
"386","Azerbaijan","1992",7.4594
"387","Azerbaijan","1993",7.48215
"388","Azerbaijan","1994",7.49498
"389","Azerbaijan","1995",7.55494
"390","Azerbaijan","1996",7.62844
"391","Azerbaijan","1997",7.67788
"392","Azerbaijan","1998",7.72649
"393","Azerbaijan","1999",7.76871
"394","Azerbaijan","2000",7.80905
"395","Azerbaijan","2001",7.84723
"396","Azerbaijan","2002",7.88378
"397","Azerbaijan","2003",7.92412
"398","Azerbaijan","2004",7.96835
"399","Azerbaijan","2005",8.01557
"400","Azerbaijan","2006",8.06616
"401","Azerbaijan","2007",8.12025
"402","Azerbaijan","2008",8.17772
"403","Azerbaijan","2009",8.23867
"404","Azerbaijan","2010",8.30351
"405","Bahamas, The","1980",0.20976
"406","Bahamas, The","1981",0.21345
"407","Bahamas, The","1982",0.21713
"408","Bahamas, The","1983",0.22086
"409","Bahamas, The","1984",0.22462
"410","Bahamas, The","1985",0.2282
"411","Bahamas, The","1986",0.23143
"412","Bahamas, The","1987",0.23448
"413","Bahamas, The","1988",0.23771
"414","Bahamas, The","1989",0.24124
"415","Bahamas, The","1990",0.24513
"416","Bahamas, The","1991",0.24931
"417","Bahamas, The","1992",0.25356
"418","Bahamas, The","1993",0.25766
"419","Bahamas, The","1994",0.26151
"420","Bahamas, The","1995",0.26518
"421","Bahamas, The","1996",0.26888
"422","Bahamas, The","1997",0.27256
"423","Bahamas, The","1998",0.27599
"424","Bahamas, The","1999",0.27931
"425","Bahamas, The","2000",0.28259
"426","Bahamas, The","2001",0.28569
"427","Bahamas, The","2002",0.28858
"428","Bahamas, The","2003",0.29135
"429","Bahamas, The","2004",0.29406
"430","Bahamas, The","2005",0.29671
"431","Bahamas, The","2006",0.29929
"432","Bahamas, The","2007",0.30197
"433","Bahamas, The","2008",0.30473
"434","Bahamas, The","2009",0.30755
"435","Bahamas, The","2010",0.31043
"436","Bahrain","1980",0.34757
"437","Bahrain","1981",0.36343
"438","Bahrain","1982",0.37796
"439","Bahrain","1983",0.39303
"440","Bahrain","1984",0.4083
"441","Bahrain","1985",0.42399
"442","Bahrain","1986",0.43962
"443","Bahrain","1987",0.45471
"444","Bahrain","1988",0.4696
"445","Bahrain","1989",0.48494
"446","Bahrain","1990",0.50065
"447","Bahrain","1991",0.51543
"448","Bahrain","1992",0.52971
"449","Bahrain","1993",0.54425
"450","Bahrain","1994",0.55868
"451","Bahrain","1995",0.57295
"452","Bahrain","1996",0.58639
"453","Bahrain","1997",0.59893
"454","Bahrain","1998",0.61118
"455","Bahrain","1999",0.62308
"456","Bahrain","2000",0.63462
"457","Bahrain","2001",0.64589
"458","Bahrain","2002",0.65697
"459","Bahrain","2003",0.66785
"460","Bahrain","2004",0.67855
"461","Bahrain","2005",0.68905
"462","Bahrain","2006",0.69934
"463","Bahrain","2007",0.70938
"464","Bahrain","2008",0.71917
"465","Bahrain","2009",0.72871
"466","Bahrain","2010",0.738
"467","Bangladesh","1980",87.93733
"468","Bangladesh","1981",94.14314
"469","Bangladesh","1982",96.18533
"470","Bangladesh","1983",98.23486
"471","Bangladesh","1984",100.27995
"472","Bangladesh","1985",102.30835
"473","Bangladesh","1986",104.34543
"474","Bangladesh","1987",106.38194
"475","Bangladesh","1988",108.37452
"476","Bangladesh","1989",110.31623
"477","Bangladesh","1990",112.21257
"478","Bangladesh","1991",113.91068
"479","Bangladesh","1992",115.75094
"480","Bangladesh","1993",117.62067
"481","Bangladesh","1994",119.51509
"482","Bangladesh","1995",121.44231
"483","Bangladesh","1996",123.43252
"484","Bangladesh","1997",125.50582
"485","Bangladesh","1998",127.66013
"486","Bangladesh","1999",129.87906
"487","Bangladesh","2000",132.15077
"488","Bangladesh","2001",134.47753
"489","Bangladesh","2002",136.86984
"490","Bangladesh","2003",139.30503
"491","Bangladesh","2004",141.7344
"492","Bangladesh","2005",144.13874
"493","Bangladesh","2006",146.51711
"494","Bangladesh","2007",148.89374
"495","Bangladesh","2008",151.28999
"496","Bangladesh","2009",153.70033
"497","Bangladesh","2010",156.11846
"498","Barbados","1980",0.25197
"499","Barbados","1981",0.25236
"500","Barbados","1982",0.25348
"501","Barbados","1983",0.25485
"502","Barbados","1984",0.25611
"503","Barbados","1985",0.25725
"504","Barbados","1986",0.25827
"505","Barbados","1987",0.25912
"506","Barbados","1988",0.25995
"507","Barbados","1989",0.26109
"508","Barbados","1990",0.26226
"509","Barbados","1991",0.26334
"510","Barbados","1992",0.2646
"511","Barbados","1993",0.2657
"512","Barbados","1994",0.26663
"513","Barbados","1995",0.26767
"514","Barbados","1996",0.26881
"515","Barbados","1997",0.27006
"516","Barbados","1998",0.27129
"517","Barbados","1999",0.2725
"518","Barbados","2000",0.27368
"519","Barbados","2001",0.27491
"520","Barbados","2002",0.27622
"521","Barbados","2003",0.27755
"522","Barbados","2004",0.27882
"523","Barbados","2005",0.28004
"524","Barbados","2006",0.28121
"525","Barbados","2007",0.28236
"526","Barbados","2008",0.2835
"527","Barbados","2009",0.28459
"528","Barbados","2010",0.28565
"529","Belarus","1992",10.22786
"530","Belarus","1993",10.25044
"531","Belarus","1994",10.23835
"532","Belarus","1995",10.20523
"533","Belarus","1996",10.17097
"534","Belarus","1997",10.12884
"535","Belarus","1998",10.09203
"536","Belarus","1999",10.06395
"537","Belarus","2000",10.0337
"538","Belarus","2001",9.99979
"539","Belarus","2002",9.95519
"540","Belarus","2003",9.90521
"541","Belarus","2004",9.85595
"542","Belarus","2005",9.80913
"543","Belarus","2006",9.76574
"544","Belarus","2007",9.72472
"545","Belarus","2008",9.68577
"546","Belarus","2009",9.64853
"547","Belarus","2010",9.61263
"548","Belgium","1980",9.8468
"549","Belgium","1981",9.8524
"550","Belgium","1982",9.8563
"551","Belgium","1983",9.85552
"552","Belgium","1984",9.8553
